,movie_imdb_id,movie_name,movie_rating,movie_vote,movie_year
806,24069,Gold Diggers of 1933,8.1,2868,1933
807,10040,Daddy-Long-Legs,7.6,691,1919
808,52357,Vertigo,8.5,93182,1958
809,23969,Duck Soup,8.1,27002,1933
810,19421,Steamboat Bill_ Jr.,7.9,4188,1928
811,8519,A Romance of the Redwoods,6.9,473,1917
812,6731,Going Straight,6.9,452,1916
813,25919,Twentieth Century,7.9,2442,1934
814,37008,Laura,8.1,14328,1944
815,21874,Five and Ten,7.9,755,1931
816,23305,One Way Passage,8.1,1369,1932
817,28249,Show Boat,7.7,1151,1936
818,23622,Trouble in Paradise,8.2,4769,1932
819,24028,Footlight Parade,7.7,1478,1933
820,291350,Millennium Actress,7.9,5455,2001
821,25316,It Happened One Night,8.3,25479,1934
822,16332,Seven Chances,8.0,2414,1925
823,15163,The Navigator,8.0,2915,1924
824,119698,Princess Mononoke,8.3,67016,1997
825,18578,Wings,7.9,3071,1927
826,29747,Way Out West,7.7,2978,1937
827,10227,Heart o' the Hills,6.9,351,1919
828,23027,Horse Feathers,7.6,5477,1932
829,18806,The Crowd,7.9,3000,1928
830,10267,The Hoodlum,6.9,504,1919
831,18742,The Cameraman,8.2,3553,1928
832,15324,Sherlock Jr.,8.4,7060,1924
833,7257,Reggie Mixes In,6.8,444,1916
834,17925,The General,8.4,20398,1926
835,29192,Make Way for Tomorrow,8.1,1284,1937
836,983213,5 Centimeters Per Second,7.9,3908,2007
837,28333,Swing Time,7.7,4036,1936
838,24067,Going Hollywood,7.8,1034,1933
839,10103,Eyes of Youth,6.9,494,1919
840,24188,Island of Lost Souls,7.8,1418,1932
841,8443,The Poor Little Rich Girl,6.9,431,1917
842,15864,The Gold Rush,8.3,21426,1925
843,24034,42nd Street,7.7,4291,1933
844,22913,Freaks,7.9,13959,1932
845,15624,The Big Parade,8.4,2604,1925
846,84868,Vincent,8.4,9756,1982
847,19379,Show People,8.3,1527,1928
848,20697,The Blue Angel,7.9,5231,1930
849,10879,When the Clouds Roll by,7.0,424,1919
850,14945,Girl Shy,7.9,1292,1924
851,9900,Back to God's Country,7.0,532,1919
852,15841,The Freshman,7.7,1727,1925
853,18051,The Kid Brother,7.9,1442,1927
854,23251,The Music Box,8.1,2394,1932
855,10060,The Delicious Little Devil,6.8,540,1919
856,18737,Pandora's Box,7.9,3473,1929
857,9356,The Married Virgin,6.8,483,1918
858,113568,Ghost in the Shell,7.8,27544,1995
859,14429,Safety Last!,8.3,5650,1923
860,29583,Snow White and the Seven Dwarfs,7.8,38609,1937
861,13442,Nosferatu_ eine Symphonie des Grauens,8.0,29570,1922
862,30448,Mickey's Trailer,8.1,823,1938
863,12494,Destiny,7.8,1530,1921
864,17136,Metropolis,8.4,40476,1927
865,15174,Kriemhild's Revenge,7.8,1223,1924
866,15175,Die Nibelungen,8.0,1640,1924
867,15064,The Last Laugh,8.1,3818,1924
868,20475,Diary of a Lost Girl,7.9,1269,1929
869,50212,The Bridge on the River Kwai,8.4,59546,1957
870,16847,Faust,8.0,4553,1926
871,32910,Pinocchio,7.7,21675,1940
872,107692,Ninja Scroll,7.9,11443,1993
873,5916,Posle smerti,6.9,248,1915
874,15400,The Thief of Bagdad,7.8,1622,1924
875,85218,Barefoot Gen,8.2,1813,1983
876,186650,Umirayushchii lebed,6.9,268,1917
877,113824,Whisper of the Heart,7.9,7893,1995
878,96283,My Neighbor Totoro,8.1,31852,1988
879,42871,Rabbit of Seville,8.3,1854,1950
880,45710,Duck! Rabbit_ Duck!,8.1,1009,1953
881,45709,Duck Dodgers in the 24 1/2th Century,8.1,2768,1953
882,51189,What's Opera_ Doc?,8.1,5184,1957
883,43953,Rabbit Fire,8.1,993,1951
884,45062,Rabbit Seasoning,8.3,1230,1952
885,45708,Duck Amuck,8.5,3284,1953
886,768120,Memories of Matsuko,7.7,1595,2006
887,388189,Kurtulus,8.4,727,1994
888,363226,The Blind Swordsman: Zatoichi,7.6,22105,2003
889,245929,Devils on the Doorstep,8.3,2179,2000
890,117615,Shall We Dance?,7.8,6117,1996
891,1069238,Departures,8.1,9748,2008
